"Date","Price (Close)","Real Volume","Twitter Followers"
"2022-07-12","0.6429375795019888","613226.2574336304","88774"
"2022-07-13","0.9243268117278451","9381315.951212386","88774"
"2022-07-14","0.9125486087674536","5066057.726659948","88848"
"2022-07-15","1.141705361960693","12826724.068859173","88848"
"2022-07-16","1.389022733101059","6021259.859245806","89026"
"2022-07-17","1.6234922409585142","17773635.304498486","89026"
"2022-07-18","1.5486365142684555","10620402.844833314","89261"
"2022-07-19","1.5040649217615198","11536022.69142212","89261"
"2022-07-20","1.5779712602966651","8645032.356745753","89261"
"2022-07-21","1.6129358988728133","5204529.5785947","89592"
"2022-07-22","1.5223574308685037","3268939.0539251463","89592"
"2022-07-23","1.5968176755080903","3830405.734430238","90605"
"2022-07-24","1.6344872930779413","5100121.04511726","90605"
"2022-07-25","1.4608688973989434","5367390.671469952","90605"
"2022-07-26","1.4334580857392047","8266366.43477326","90745"
"2022-07-27","1.945537655785955","13959564.348285295","91061"
"2022-07-28","2.24459023419673","45141808.935415074","91061"
"2022-07-29","2.4316984338454435","23755654.32694547","91215"
"2022-07-30","2.33715231662951","10892651.226138836","91215"
"2022-07-31","2.1541027488461815","4812264.853967978","91546"
"2022-08-01","2.08457441778192","6570019.353108563","91546"
"2022-08-02","2.302681936498499","13070196.498212468","92054"
"2022-08-03","2.5808305746999807","15717675.18897132","92054"
"2022-08-04","2.4384481119547954","15622722.346244188","92054"
"2022-08-05","2.6716360560641847","13351671.946471056","95615"
"2022-08-06","2.605301213157282","9615583.772007102","95615"
"2022-08-07","2.447726634159919","4126025.9287265996","95976"
"2022-08-08","2.3725742064925948","7024166.83426863","96699"
"2022-08-09","2.2591818788019147","9274791.497813478","96699"
"2022-08-10","2.6852102192409366","7687958.837333227","96699"