"Date","Price (Close)","Real Volume"
"2022-07-12","32.655030242923054","316740126.73536587"
"2022-07-13","34.92114053431867","470811298.3154341"
"2022-07-14","37.11636869466867","480162633.90836525"
"2022-07-15","37.22918078308101","431332921.49266845"
"2022-07-16","39.58063778777739","367371924.6672043"
"2022-07-17","38.61223485650424","345421056.7095708"
"2022-07-18","43.52805724976436","587830876.462371"
"2022-07-19","44.90245077153866","845598977.6606253"
"2022-07-20","42.04450753641157","710945123.7997568"
"2022-07-21","43.111519048742835","630787982.3091503"
"2022-07-22","40.54498732218928","482094512.55480134"
"2022-07-23","39.971524430699176","330570791.33344775"
"2022-07-24","40.94027797754034","292592807.9498649"
"2022-07-25","36.645672898413615","428792679.13474894"
"2022-07-26","36.26970327416429","401075622.87444466"
"2022-07-27","40.29666421227811","561243986.8286213"
"2022-07-28","42.92186584292964","694703515.7913529"
"2022-07-29","41.91067190778882","597695404.7291522"
"2022-07-30","43.84442868207377","606170629.9216102"
"2022-07-31","42.37172686604456","376262002.14787924"
"2022-08-01","41.625742318339945","375988145.86292243"
"2022-08-02","39.80191099015235","390688015.9747847"
"2022-08-03","38.57662359839744","857859730.2687153"
"2022-08-04","38.84612729135643","391256017.5759627"
"2022-08-05","40.55875130578887","375195548.4168793"
"2022-08-06","40.08152546123752","166124365.77421018"
"2022-08-07","40.60633446037227","178148802.10225672"
"2022-08-08","42.2332639992997","347497096.2353056"
"2022-08-09","40.351134357719765","288020619.82816964"
"2022-08-10","41.303901083730246","376403872.48933023"