"Date","Price (Close)","Real Volume","Addresses with balance greater than $1"
"2022-07-12","5.530709782884845","73095099.97365901","251466"
"2022-07-13","6.10439651894085","73819408.93276332","252192"
"2022-07-14","7.0129239962497545","153069540.9527674","253350"
"2022-07-15","6.739268414652865","72259004.2439788","253429"
"2022-07-16","7.373462261000038","67449844.48542714","254367"
"2022-07-17","6.942405738786347","37641586.9907891","254100"
"2022-07-18","7.32980103042617","64035465.394980535","254720"
"2022-07-19","7.356800415787903","84625891.67008811","255024"
"2022-07-20","6.860028475644916","63638826.38913165","254551"
"2022-07-21","7.224922439155284","45251223.9563022","255184"
"2022-07-22","6.8921683979841255","45730740.93743045","254927"
"2022-07-23","6.966898256251323","35625675.667668134","255128"
"2022-07-24","7.240974606802727","36738582.88397351","255575"
"2022-07-25","7.048706111147314","95904141.45052974","255702"
"2022-07-26","6.652475765055523","68873341.69193515","255178"
"2022-07-27","8.054140938596351","102004207.34517348","256972"
"2022-07-28","9.282191436141494","183181977.80458942","259018"
"2022-07-29","9.07071499021116","123964296.25228538","258561"
"2022-07-30","8.772860086618289","77560352.87291722","257955"
"2022-07-31","8.329439287637765","76297072.72961013","257560"
"2022-08-01","8.349093981209025","54629296.10229691","257622"
"2022-08-02","8.254951875896097","92161763.86120433","257714"
"2022-08-03","8.916648893014635","106762377.26002017","258719"
"2022-08-04","8.827202477256616","78813183.86845826","258372"
"2022-08-05","8.975059676141582","62639848.40426456","258471"
"2022-08-06","8.77909275083896","34224397.22976927","258209"
"2022-08-07","8.782572561323086","21555786.66391982","258071"
"2022-08-08","8.80180583034267","56242487.37161899","258210"
"2022-08-09","8.44111886146598","50638248.907422386","257737"
"2022-08-10","9.16162989023127","65946375.70798889",""